split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
oof,HistGradientBoosting,position,DEF,13899,1.9897114900352544,1.913469034109144,0.07624245592611033,1.8450135238409098
oof,HistGradientBoosting,position,FWD,4297,2.6797765883174307,2.5429907912330685,0.1367857970843624,2.1233110708467966
oof,HistGradientBoosting,position,GK,2805,2.492691622103387,2.57297399363384,-0.08028237153045321,1.8863195642354844
oof,HistGradientBoosting,position,MID,18016,2.325266429840142,2.2921395936402513,0.03312683619989084,1.766047358919637
oof,HistGradientBoosting,price_band,budget,22915,1.8632773292603098,1.8528339610179754,0.01044336824233429,1.597046245835073
oof,HistGradientBoosting,price_band,mid,14287,2.6420522153006227,2.5462538875412513,0.09579832775937142,2.0651042865532774
oof,HistGradientBoosting,price_band,premium,1447,3.9322736696613685,3.6727035516251836,0.2595701180361838,3.008317263781125
oof,HistGradientBoosting,price_band,elite,368,5.217391304347826,5.120910214529246,0.0964810898185798,3.8653573078302954
oof,HistGradientBoosting,minutes_history_band,low,6620,1.280513595166163,1.2807693958065682,-0.0002558006404046684,1.2409603139502334
oof,HistGradientBoosting,minutes_history_band,rotation,13824,1.8328993055555556,1.812336961790676,0.020562343764879802,1.6202713478814248
oof,HistGradientBoosting,minutes_history_band,regular,17984,2.922875889679715,2.8223903457025807,0.10048554397713443,2.2256606872796154
oof,HistGradientBoosting,minutes_history_band,ever_present,589,2.8421052631578947,2.961984667280442,-0.11987940412254715,2.098261534414662
oof,HistGradientBoosting,home_away,away,18886,2.1668961135232445,2.077150841279039,0.08974527224420589,1.7665263397969428
oof,HistGradientBoosting,home_away,home,18975,2.3839262187088273,2.3677845697433457,0.016141648965481804,1.9578230975903348
oof,HistGradientBoosting,home_away,mixed_or_blank,1156,1.6392733564013842,1.6238179125443466,0.01545544385703758,1.1796163538828155
oof,HistGradientBoosting,fixture_band,easy,12084,2.6502813637868257,2.541715510065234,0.10856585372159136,2.147218843805786
oof,HistGradientBoosting,fixture_band,medium,16499,2.328504757864113,2.2256893481930824,0.10281540967103044,1.88162727069287
oof,HistGradientBoosting,fixture_band,hard,9688,1.8177126341866225,1.9067110475245483,-0.08899841333792577,1.521512791136487
oof,HistGradientBoosting,fixture_band,nan,746,0.0,0.17018913980347367,-0.17018913980347367,0.19245236867175852
oof,HistGradientBoosting,prediction_band,<2,17675,1.1996605374823197,1.1707496145725098,0.02891092290980999,1.2137928182626883
oof,HistGradientBoosting,prediction_band,2-4,18772,2.9185489026209246,2.807499178655003,0.111049723965922,2.2205748024753023
oof,HistGradientBoosting,prediction_band,4-6,2252,4.385435168738899,4.595910022036996,-0.21047485329809715,3.2766849029448246
oof,HistGradientBoosting,prediction_band,6-8,260,6.5115384615384615,6.8002583833882815,-0.2887199218498205,4.037937294111332
oof,HistGradientBoosting,prediction_band,8+,58,8.517241379310345,8.99113685496701,-0.4738954756566659,5.320170388105627
oof,HistGradientBoosting,gw,2,688,2.872093023255814,2.6288700450222855,0.2432229782335285,2.1397738783649514
oof,HistGradientBoosting,gw,3,827,2.5755743651753327,2.434963750886414,0.14061061428891844,1.9003574521023696
oof,HistGradientBoosting,gw,4,939,2.445154419595314,2.378365221288316,0.06678919830699806,1.992727843224249
oof,HistGradientBoosting,gw,5,1024,2.189453125,2.2227869892234065,-0.03333386422340634,1.7466483753288058
oof,HistGradientBoosting,gw,6,1083,2.148661126500462,2.247186119586762,-0.09852499308630037,1.8435194097061622
oof,HistGradientBoosting,gw,7,1078,2.292207792207792,2.266381955221957,0.02582583698583514,1.7951092469195897
oof,HistGradientBoosting,gw,8,1082,2.210720887245841,2.2447228562581416,-0.03400196901230038,1.8575533420930577
oof,HistGradientBoosting,gw,9,1077,2.188486536675952,2.2291009073777537,-0.04061437070180188,1.739952436456401
