split,model,mode,feature_set,mae,rmse,spearman,mean_actual,mean_predicted,sample_count,top_10_precision,top_10_recall,top_25_precision,top_25_recall,top_50_precision,top_50_recall,ndcg_10,ndcg_25,ndcg_50,ceiling_8_precision,ceiling_8_recall,ceiling_8_avg_prediction,ceiling_8_sample_count,ceiling_10_precision,ceiling_10_recall,ceiling_10_avg_prediction,ceiling_10_sample_count,ceiling_15_precision,ceiling_15_recall,ceiling_15_avg_prediction,ceiling_15_sample_count,average_top_pick_points,average_actual_maximum,average_regret,gameweek_count
validation,Ridge,global,feature_set_without_team_strength,1.7777213039666604,2.656931962498992,0.4932135274585293,2.180818570555895,2.1060195086280804,13096,0.1891891891891891,0.1891891891891891,0.2259459459459459,0.2259459459459459,0.3102702702702703,0.3102702702702703,0.4550368508859848,0.4639607638276419,0.4868031187439234,0.6666666666666666,0.002262443438914,3.1523375107427625,884,,0.0,3.3913395922163696,427,,0.0,4.051640310542465,90,8.486486486486486,17.89189189189189,9.405405405405403,37
validation,Ridge,global,feature_set_without_value,1.7923627089739766,2.680598748459919,0.4846272155332465,2.180818570555895,2.102408019094516,13096,0.1648648648648648,0.1648648648648648,0.2032432432432432,0.2032432432432432,0.2918918918918918,0.2918918918918918,0.4294318300412826,0.4388965867536347,0.4707077488774993,1.0,0.002262443438914,3.0286921824535327,884,,0.0,3.2091545688101775,427,,0.0,3.7513122262640985,90,7.972972972972973,17.89189189189189,9.91891891891892,37
validation,Ridge,global,feature_set_without_minutes,1.819503289037067,2.692848605874393,0.4490658825668501,2.180818570555895,2.144537402306762,13096,0.1864864864864864,0.1864864864864864,0.2194594594594595,0.2194594594594595,0.3037837837837838,0.3037837837837838,0.4410045083635965,0.4514927281527852,0.4771524205495234,0.6666666666666666,0.004524886877828,3.1039675338957076,884,1.0,0.0023419203747072,3.345743609111849,427,,0.0,3.978688971877586,90,7.918918918918919,17.89189189189189,9.972972972972974,37
validation,Ridge,global,feature_set_without_5gw,1.785346988777348,2.666111296304294,0.4866336144470728,2.180818570555895,2.1095304626351377,13096,0.1891891891891892,0.1891891891891892,0.228108108108108,0.228108108108108,0.3081081081081081,0.3081081081081081,0.4500824055172519,0.4595562391951857,0.4830471901622795,0.6666666666666666,0.002262443438914,3.1231153685023534,884,1.0,0.0023419203747072,3.349804113047984,427,,0.0,3.970873679576034,90,8.054054054054054,17.89189189189189,9.83783783783784,37
validation,Ridge,global,feature_set_without_3gw,1.788954133435967,2.6696231423602756,0.4821428534615205,2.180818570555895,2.107997701860275,13096,0.1837837837837837,0.1837837837837837,0.2313513513513513,0.2313513513513513,0.3162162162162162,0.3162162162162162,0.4547839148920616,0.4648394320556594,0.487557511600823,1.0,0.002262443438914,3.126051770141159,884,,0.0,3.344001778280056,427,,0.0,3.9673091444617032,90,8.756756756756756,17.89189189189189,9.135135135135137,37
validation,Ridge,position_specific,feature_set_form,1.7632901348541088,2.6563048816480133,0.4945122147891916,2.180818570555895,2.0708312784542087,13096,0.1837837837837837,0.1837837837837837,0.2410810810810811,0.2410810810810811,0.3248648648648649,0.3248648648648649,0.4480506296832755,0.4634714708333375,0.4924860458130822,0.8,0.004524886877828,3.17601633638042,884,,0.0,3.3991223208030816,427,,0.0,4.069777781432405,90,8.216216216216216,17.89189189189189,9.675675675675675,37
oof,HistGradientBoosting,global,feature_set_full_linear,1.842169983219371,2.7395133384865953,0.5018173006972338,2.256811133608427,2.205062319147479,39017,0.14144144144144144,0.14144144144144144,0.21153153153153156,0.21153153153153156,0.30594594594594593,0.30594594594594593,0.39256031039911,0.41895618883826546,0.459447432551036,0.4827586206896552,0.009960868018498754,3.1961538540349883,2811,0.36363636363636365,0.002840909090909091,3.392481194514735,1408,,0.0,3.7185771497030444,277,6.603603603603603,17.8018018018018,11.198198198198199,111
oof,Random Forest,global,feature_set_form,1.8315924450679961,2.7307352341632014,0.5074914227965748,2.256811133608427,2.1901647430706537,39017,0.14504504504504503,0.14504504504504503,0.21837837837837837,0.21837837837837837,0.30612612612612616,0.30612612612612616,0.3928150776333911,0.4217247767621975,0.4615073736817725,0.3902439024390244,0.005691924581999288,3.15751045657074,2811,,0.0,3.331880272567872,1408,,0.0,3.6547649961809694,277,6.225225225225225,17.8018018018018,11.576576576576576,111
oof,Ridge,global,feature_set_form,1.8365272707307527,2.73129975154797,0.4974834712608013,2.256811133608427,2.144423385063241,39017,0.1585585585585586,0.1585585585585586,0.22702702702702704,0.22702702702702704,0.3144144144144144,0.3144144144144144,0.40478257305664794,0.4356593549013392,0.4729725142853277,0.625,0.0017787264318747777,3.1321201896426114,2811,,0.0,3.3272729129721883,1408,,0.0,3.6827435483561106,277,6.7657657657657655,17.8018018018018,11.036036036036036,111
test,Ridge (position_specific),position_specific,feature_set_form,1.9029834187295775,2.786939076767792,0.47591429253633677,2.420285383725415,2.213361874983572,12965,0.15135135135135133,0.15135135135135133,0.20648648648648651,0.20648648648648651,0.29351351351351357,0.29351351351351357,0.383322811192265,0.41316201580203876,0.4503049611033267,1.0,0.0009746588693957114,3.0670056375214183,1026,,0.0,3.173031221019249,499,,0.0,3.110227190991666,84,6.135135135135135,17.10810810810811,10.972972972972974,37
